DATE,PERMNO,PRC,VOL,CFACPR,CFACSHR,SHROUT,RET
1990-01-31,71204.0,33.125,14684.0,1.0,1.0,9900.0,-0.1479099690914154
1990-01-31,17137.0,36.0,2199.0,1.875,1.875,8100.0,-0.006896551698446274
1990-01-31,24870.0,22.375,18857.0,1.0,1.0,34172.0,-0.02185792289674282
1990-01-31,79848.0,6.5,53933.0,1.0,1.0,24008.0,-0.11864406615495682
1990-01-31,24476.0,10.125,11417.0,2.0,2.0,9044.0,-0.3076923191547394
1990-01-31,87821.0,24.25,304.0,2.0,2.0,6888.0,0.021052632480859756
1990-01-31,63352.0,12.25,506.0,1.0,1.0,6592.0,0.02083333395421505
1990-01-31,32133.0,3.0,1.0,1.0,1.0,1233.0,0.0
1990-01-31,49971.0,26.875,936.0,4.0,4.0,10167.0,-0.04444444552063942
1990-01-31,89587.0,6.0,69.0,1.0,1.0,2688.0,0.0
1990-01-31,10695.0,0.71875,1197.0,1.0,1.0,20000.0,-0.3030303120613098
1990-01-31,57963.0,11.125,49.0,1.0,1.0,1702.0,-0.021978022530674934
1990-01-31,75800.0,9.75,3419.0,1.0,1.0,3074.0,-0.2199999988079071
1990-01-31,55204.0,36.75,24947.0,1.0,1.0,61686.0,-0.18105849623680115
1990-01-31,72100.0,16.25,13591.0,1.0,1.0,18273.0,0.023622047156095505
1990-01-31,11202.0,7.75,1354.0,2.0,2.0,2473.0,0.0
1990-01-31,85220.0,2.59375,8287.0,1.0,1.0,5042.0,-0.08791209012269974
1990-01-31,11849.0,11.75,5563.0,1.0,1.0,18002.0,0.021739130839705467
1990-01-31,89763.0,1.125,10485.0,1.0,1.0,28430.0,0.0
1990-01-31,29720.0,1.3125,19.0,1.0,1.0,826.0,0.0
1990-01-31,50818.0,0.375,540.0,1.0,1.0,13230.0,0.20000000298023224
1990-01-31,58799.0,9.0,1544.0,2.0,2.0,2536.0,0.0
1990-01-31,75798.0,9.5,10042.0,1.0,1.0,9287.0,-0.012987012974917889
1990-01-31,10458.0,4.0,4888.0,0.4,0.4,4600.0,-0.2195121943950653
1990-01-31,10501.0,6.75,314.0,2.2,2.2,6833.0,0.0
1990-01-31,85359.0,16.25,931.0,2.1,2.1,5072.0,-0.05797101557254791
1990-01-31,22374.0,3.0,1286.0,2.25,2.25,6076.0,-0.17241379618644714
1990-01-31,75761.0,3.4375,1065.0,1.0,1.0,3450.0,0.004566209856420755
1990-01-31,75790.0,22.75,1286.0,1.0,1.0,24570.0,-0.0714285746216774
1990-01-31,11681.0,4.375,636.0,0.142857,0.142857,4016.0,-0.125
1990-01-31,75777.0,2.125,450.0,1.0,1.0,1876.0,-0.4035087823867798
1990-01-31,11840.0,0.046875,79561.0,1.0,1.0,549820.0,0.0
1990-01-31,54528.0,2.5,442.0,1.0,1.0,10525.0,0.05263157933950424
1990-01-31,81430.0,3.5,0.0,1.0,1.0,397.0,0.0
1990-01-31,38472.0,5.25,514.0,2.0,2.0,3093.0,-0.1340206116437912
1990-01-31,72980.0,15.0,739.0,3.0,3.0,3714.0,-0.11764705926179886
1990-01-31,21486.0,10.5,21767.0,1.0,1.0,5391.0,-0.2293577939271927
1990-01-31,75789.0,61.0,83282.0,12.0,12.0,60010.0,-0.09124767035245895
1990-01-31,87274.0,9.625,2378.0,1.251724,1.1,3682.0,0.15000000596046448
1990-01-31,75778.0,10.3125,7032.0,1.0,1.0,11561.0,0.08552631735801697
1990-01-31,10456.0,11.25,3926.0,1.0,1.0,4537.0,0.0714285746216774
1990-01-31,32046.0,13.5,1569.0,6.75,6.75,4192.0,-0.10000000149011612
1990-01-31,78597.0,54.0,204.0,1.0,1.0,2260.0,-0.10205761343240738
1990-01-31,29752.0,26.0,1290.0,2.0,2.0,11919.0,-0.22962963581085205
1990-01-31,63546.0,9.625,606.0,0.0125,0.0125,1871.0,0.0
1990-01-31,46149.0,15.5,1356.0,24.0,24.0,3510.0,-0.08148147910833359
1990-01-31,32061.0,3.0,472.0,1.0,1.0,5008.0,0.0
1990-01-31,11835.0,7.875,4401.0,1.0,1.0,8109.0,-0.07352941483259201
1990-01-31,24919.0,0.125,198.0,1.0,1.0,26633.0,-0.20000000298023224
1990-01-31,10930.0,0.265625,7415.0,1.0,1.0,5441.0,-0.7951807379722595
1990-01-31,75779.0,1.5,1688.0,0.5,0.5,4600.0,-0.15789473056793213
1990-01-31,11291.0,14.25,12828.0,1.5,1.5,11140.0,0.04954128339886665
1990-01-31,73171.0,1.75,2970.0,1.0,1.0,4301.0,-0.2222222238779068
1990-01-31,63511.0,0.25,8913.0,0.06666,0.06666,16884.0,-0.20000000298023224
1990-01-31,57964.0,7.25,384.0,1.191016,1.191016,2941.0,-0.14705882966518402
1990-01-31,42112.0,33.5,1450.0,1.0,1.0,6607.0,-0.024637680500745773
1990-01-31,78079.0,4.0,61.0,6.0,6.0,527.0,0.0
1990-01-31,26825.0,64.625,48534.0,4.0,4.0,121891.0,-0.04436229169368744
1990-01-31,50948.0,2.0,608.0,8.0,8.0,4184.0,0.06666667014360428
1990-01-31,10092.0,3.5,2451.0,3.0,3.0,3132.0,0.03703703731298447
1990-01-31,11695.0,0.34375,46788.0,1.0,1.0,20754.0,0.15789473056793213
1990-01-31,11286.0,11.0,2027.0,1.0,1.0,1578.0,-0.18518517911434174
1990-01-31,50921.0,5.75,165.0,1.0,1.0,1892.0,0.06976744532585144
1990-01-31,64283.0,10.75,1067.0,1.0,1.0,5241.0,0.3030303120613098
1990-01-31,11290.0,1.4375,7456.0,1.0,1.0,34658.0,-0.1785714328289032
1990-01-31,60055.0,8.5,221.0,1.0,1.0,5786.0,-0.10526315867900848
1990-01-31,14541.0,66.875,121664.0,4.0,4.0,342109.0,-0.012915128841996193
1990-01-31,11844.0,27.75,7.0,4.384614,4.384614,2502.0,0.0
1990-01-31,32037.0,1.25,406.0,1.0,1.0,3889.0,-0.2857142984867096
1990-01-31,11698.0,8.0,2.0,1.0,1.0,554.0,0.0
1990-01-31,63467.0,12.125,412.0,30.0,30.0,3819.0,-0.08490566164255142
1990-01-31,10737.0,0.625,1665.0,1.0,1.0,2701.0,1.8571428060531616
1990-01-31,42140.0,20.5,1931.0,2.1875,2.1875,3956.0,-0.07865168899297714
1990-01-31,11697.0,0.875,171.0,1.0,1.0,2034.0,0.0
1990-01-31,16791.0,2.625,1732.0,1.0,1.0,3279.0,-0.023255813866853714
1990-01-31,11208.0,9.125,292.0,10.457806,10.457806,1530.0,-0.08749999850988388
1990-01-31,10738.0,16.5,40942.0,1.0,1.0,14720.0,-0.0833333358168602
1990-01-31,32062.0,2.625,364.0,1.5,1.5,1769.0,-0.04545454680919647
1990-01-31,64291.0,14.125,6986.0,1.0,1.0,6848.0,-0.16059258580207825
1990-01-31,75586.0,0.40625,423.0,0.1666,0.1666,8439.0,0.03999999910593033
1990-01-31,10916.0,21.75,104.0,4.644303,4.644303,1262.0,0.0235294122248888
1990-01-31,11679.0,1.125,644.0,1.0,1.0,1950.0,-0.25
1990-01-31,11293.0,31.0,218.0,3.0,3.0,2403.0,0.042016807943582535
1990-01-31,75581.0,1.3125,407.0,0.4,0.4,4988.0,-0.25
1990-01-31,11696.0,0.25,7826.0,0.1,0.1,12213.0,-0.05882352963089943
1990-01-31,40345.0,6.0,3168.0,1.5,1.5,3822.0,-0.17241379618644714
1990-01-31,55191.0,20.0,7841.0,1.0,1.0,46875.0,-0.08571428805589676
1990-01-31,11680.0,1.375,10492.0,1.0,1.0,17424.0,0.0731707289814949
1990-01-31,10179.0,11.125,14879.0,1.0,1.0,13816.0,-0.0637499988079071
1990-01-31,93236.0,8.0,2666.0,1.0,1.0,2828.0,-0.16883116960525513
1990-01-31,21514.0,46.25,21267.0,2.0,2.0,41042.0,-0.05128205195069313
1990-01-31,49884.0,0.34375,195.0,1.0,1.0,2100.0,-0.0833333358168602
1990-01-31,32716.0,0.78125,94.0,1.0,1.0,1898.0,0.0
1990-01-31,10697.0,16.75,2181.0,1.0,1.0,2639.0,-0.12987013161182404
1990-01-31,75585.0,7.125,639.0,1.0,1.0,3432.0,-0.12977099418640137
1990-01-31,11689.0,1.53125,2736.0,1.0,1.0,1785.0,-0.1090909093618393
1990-01-31,35829.0,12.75,757.0,5.859229,5.859229,2935.0,-0.06422018259763718
1990-01-31,63503.0,26.75,2397.0,1.5,1.5,6669.0,-0.04350877180695534
1990-01-31,29400.0,0.703125,14469.0,1.0,1.0,14511.0,0.5
1990-01-31,50965.0,3.1875,205.0,1.875,1.875,774.0,-0.12068965286016464
1990-01-31,11839.0,5.0,491.0,2.25,2.25,852.0,0.0
1990-01-31,18439.0,1.625,344.0,1.0,1.0,4048.0,0.0
1990-01-31,81438.0,2.375,8.0,1.0,1.0,1065.0,0.0
1990-01-31,19052.0,19.0,4445.0,1.0,1.0,20191.0,-0.05000000074505806
1990-01-31,85033.0,1.75,9237.0,1.0,1.0,13735.0,0.21739129722118378
1990-01-31,10513.0,1.25,5147.0,1.0,1.0,14194.0,-0.09090909361839294
1990-01-31,10514.0,23.0,1660.0,0.15,0.15,9029.0,-0.07999999821186066
1990-01-31,42614.0,11.875,37.0,3.375,3.375,1676.0,-0.020618556067347527
1990-01-31,50972.0,29.25,4790.0,1.0,1.0,25192.0,-0.06772908568382263
1990-01-31,75784.0,0.109375,7342.0,0.1,0.1,21350.0,-0.2222222238779068
1990-01-31,11691.0,31.875,26127.0,1.909091,1.0,46118.0,-0.15000000596046448
1990-01-31,75787.0,11.5,219.0,1.21,1.21,863.0,0.04545454680919647
1990-01-31,75785.0,1.25,3073.0,1.0,1.0,6365.0,0.21212121844291687
1990-01-31,10090.0,1.875,1281.0,0.3333,0.3333,6596.0,-0.21052631735801697
1990-01-31,69294.0,33.0,6798.0,2.0,2.0,16285.0,-0.029411764815449715
1990-01-31,71087.0,31.625,599.0,1.0,1.0,7154.0,-0.04887218028306961
1990-01-31,75786.0,3.3125,788.0,1.0,1.0,1300.0,-0.22058823704719543
1990-01-31,10020.0,13.375,2635.0,1.0,1.0,20756.0,-0.009259259328246117
1990-01-31,10003.0,7.75,3214.0,1.0,1.0,2194.0,-0.0882352963089943
1990-01-31,42104.0,25.375,14820.0,1.0,1.0,39798.0,-0.08968609571456909
1990-01-31,60441.0,22.625,30911.0,5.0,5.0,17451.0,-0.17351597547531128
1990-01-31,63483.0,32.0,16733.0,2.0,2.0,19199.0,-0.05882352963089943
1990-01-31,63482.0,0.4375,992.0,1.0,1.0,8916.0,-0.125
1990-01-31,40352.0,6.625,9605.0,1.0,1.0,28825.0,-0.19696970283985138
1990-01-31,11838.0,9.875,2245.0,1.0,1.0,2934.0,0.028205128386616707
1990-01-31,24459.0,43.25,49805.0,4.083532,4.0,78321.0,-0.08947368711233139
1990-01-31,15537.0,9.5,951.0,2.0625,2.0625,3267.0,-0.05000000074505806
1990-01-31,75583.0,6.9375,741.0,1.0,1.0,2243.0,0.02777777798473835
1990-01-31,11694.0,8.375,2769.0,1.0,1.0,13980.0,-0.09459459781646729
1990-01-31,10108.0,19.25,22986.0,8.0,8.0,13625.0,-0.1894736886024475
1990-01-31,15667.0,105.875,54147.0,8.0,8.0,155946.0,-0.015116279013454914
1990-01-31,92399.0,0.8125,5415.0,0.33333,0.33333,11265.0,-0.21212121844291687
1990-01-31,42084.0,4.125,14804.0,1.0,1.0,13074.0,0.0
1990-01-31,80128.0,16.25,10074.0,2.0,2.0,11250.0,-0.13333334028720856
1990-01-31,92903.0,1.625,710.0,1.0,1.0,4195.0,-0.0714285746216774
1990-01-31,36469.0,19.0,49050.0,2.0,2.0,107139.0,-0.07878787815570831
1990-01-31,64290.0,18.375,615.0,1.0,1.0,6018.0,-0.019999999552965164
1990-01-31,54501.0,1.1875,72.0,1.0,1.0,2251.0,-0.11627907305955887
1990-01-31,50956.0,29.125,44701.0,1.0,1.0,83652.0,0.004310344811528921
1990-01-31,11292.0,0.078125,87013.0,0.01,0.01,199201.0,0.0
1990-01-31,75780.0,2.625,3406.0,1.0,1.0,6300.0,0.0
1990-01-31,75781.0,1.5,6088.0,1.0,1.0,10450.0,-0.1428571492433548
1990-01-31,10863.0,3.75,2890.0,1.0,1.0,5377.0,-0.032258063554763794
1990-01-31,54471.0,17.625,3224.0,1.0,1.0,10580.0,-0.12422360479831696
1990-01-31,50999.0,15.0,333.0,1.0,1.0,2042.0,-0.15356643497943878
1990-01-31,11687.0,12.25,94.0,1.132011,1.1235,1385.0,-0.019999999552965164
1990-01-31,11836.0,15.75,0.0,1.0,1.0,631.0,0.0
1990-01-31,75788.0,4.0,1383.0,1.0,1.0,1803.0,-0.08571406453847885
1990-01-31,63504.0,8.0,262.0,1.0,1.0,3049.0,-0.1794871836900711
1990-01-31,49875.0,44.5,12278.0,1.0,1.0,34010.0,-0.0694516971707344
1990-01-31,21397.0,28.5,88591.0,1.0,1.0,95394.0,-0.109375
1990-01-31,77789.0,13.75,3669.0,1.05,1.05,12675.0,-0.11999999731779099
1990-01-31,10929.0,28.75,714.0,1.833329,1.833329,1859.0,-0.029411764815449715
1990-01-31,11692.0,0.203125,775.0,1.0,1.0,6567.0,-0.13333334028720856
1990-01-31,46042.0,1.484375,6410.0,0.1,0.1,9650.0,-0.030612245202064514
